Symbol,Open Date,C/P,Strike,Exp Date,Premium,Contracts,Total Open Premium,Current Price,Open Price,Close Cost,Status,Profit/Loss
AMD,08-06-2025,P,135,08-29-2025,0.65,2,130,161,0,C,130,
AMD,09-03-2025,C,195,09-26-2025,0.40,2,80,162,0,O,80,
AMD,09-03-2025,P,135,09-26-2025,0.65,2,130,162,0,O,130,
AMD,08-03-2025,C,215,08-29-2025,0.60,2,120,171,0,C,120,
AMD,09-30-2025,P,130,10-31-2025,0.82,2,164,162,0,O,164,
AMD,09-30-2025,C,210,10-31-2025,0.49,2,98,257,9500,C,-9402,
AMD,10-09-2025,P,190,10-31-2025,1.80,2,360,230,0,O,360,
AMD,11-05-2025,C,330,11-28-2025,1.37,2,274,256,0,O,274,
AMD,11-05-2025,P,205,11-28-2025,1.25,2,250,256,0,O,250,
CSL,08-05-2025,P,360,08-15-2025,4.00,1,400,360,0,C,400,
CSL,08-19-2025,C,420,09-19-2025,1.45,1,145,384,0,O,145,
CSL,08-20-2025,P,340,09-19-2025,1.10,1,110,383,0,O,110,
CSL,11-06-2025,P,310,11-21-2025,3.90,1,390,326,0,O,390,
CSL,11-06-2025,P,280,11-21-2025,0.80,1,80,328,0,O,80,
DE,08-05-2025,P,440,08-29-2025,1.75,4,700,512,0,C,700,
DE,08-05-2025,P,430,08-29-2025,1.25,4,500,512,0,C,500,
DE,08-05-2025,C,540,08-08-2025,0.90,4,360,512,0,C,360,
DE,08-05-2025,C,545,08-08-2025,0.60,4,240,512,0,C,240,
DE,08-15-2025,C,520,08-29-2025,0.76,4,304,489,0,C,304,
DE,09-02-2025,P,430,09-26-2025,1.20,4,480,475,0,O,480,
DE,09-02-2025,P,420,09-26-2025,0.90,4,360,475,0,O,360,
DE,09-03-2025,C,510,09-26-2025,0.80,4,320,470,0,O,320,
DE,09-04-2025,C,510,09-26-2025,0.78,4,312,475,0,O,312,
DE,09-30-2025,P,410,10-31-2025,1.76,4,704,456,0,O,704,
DE,10-01-2025,C,500,10-31-2025,1.04,4,416,453,0,O,416,
DE,10-01-2025,P,400,10-31-2025,1.25,4,500,450,0,O,500,
DE,10-02-2025,C,510,10-31-2025,0.95,4,380,460,0,O,380,
DE,11-03-2025,C,500,11-14-2025,0.60,4,240,463,0,O,240,
DE,11-05-2025,C,495,11-14-2025,1.00,4,400,474,0,O,400,
DE,11-06-2025,P,440,11-14-2025,0.85,8,680,462,0,O,680,
DE,11-17-2025,C,500,11-21-2025,0.64,8,512,478,0,O,512,
ETN,08-05-2025,P,330,08-29-2025,3.00,1,300,360,0,C,300,
ETN,08-07-2025,C,395,08-29-2025,0.70,1,70,358,0,C,70,
ETN,09-02-2025,P,300,09-26-2025,0.90,1,90,343,0,O,90,
ETN,09-03-2025,C,375,09-26-2025,0.60,1,60,343,0,O,60,
ETN,10-06-2025,C,420,10-24-2025,0.90,1,90,379,0,O,90,
ETN,10-14-2025,P,330,10-24-2025,1.05,1,105,371,0,O,105,
ETN,11-04-2025,C,420,11-28-2025,1.25,1,125,382,0,O,125,
ETN,11-04-2025,P,330,11-28-2025,1.20,1,120,373,0,O,120,
KKR,08-05-2025,P,130,08-29-2025,0.75,8,600,148,0,C,600,
KKR,09-02-2025,P,120,09-26-2025,0.50,6,300,138,0,O,300,
KKR,09-02-2025,P,120,09-26-2025,0.50,6,300,138,0,O,300,
KKR,09-03-2025,P,1320,09-26-2025,0.50,6,300,145,0,O,300,
KKR,10-01-2025,P,115,10-17-2025,0.60,6,359,128,0,O,359,
KKR,10-01-2025,P,110,10-17-2025,0.30,3,89,128,0,O,89,
KKR,10-09-2025,P,115,10-17-2025,0.50,6,300,123,0,O,300,
KKR,11-07-2025,P,100,11-28-2025,0.45,3,135,118,0,O,135,
KKR,11-10-2025,P,110,11-28-2025,0.85,3,254,120,0,O,254,
LNG,08-08-2025,P,210,08-29-2025,0.45,1,45,235,0,C,45,
LNG,08-11-2025,C,250,08-29-2025,0.80,1,80,231,0,C,80,
LNG,09-04-2025,P,215,09-26-2025,0.60,1,60,238,0,O,60,
LNG,09-09-2025,C,255,09-26-2025,0.60,1,60,237,0,O,60,
LNG,09-30-2025,C,260,10-24-2025,0.45,1,45,235,0,O,45,
LNG,09-30-2025,P,210,10-24-2025,0.55,1,55,234,0,O,55,
MU,08-06-2025,P,90,08-29-2025,0.55,1,55,108,0,C,55,
MU,09-02-2025,P,90,09-26-2025,0.45,1,45,118,0,O,45,
MU,09-04-2025,C,150,09-26-2025,0.60,1,60,121,0,O,60,
MU,09-16-2025,P,130,09-26-2025,0.90,4,360,158,0,O,360,
MU,09-16-2025,P,130,09-09-2025,0.40,4,160,130,0,O,160,
MU,09-24-2025,P,145,10-17-2025,1.90,1,190,163,0,O,190,
MU,09-24-2025,P,140,10-17-2025,1.25,2,250,163,0,O,250,
MU,09-30-2025,P,130,10-31-2025,0.68,2,136,165,0,O,136,
MU,10-03-2025,P,160,10-17-2025,0.90,2,180,189,0,O,180,
MU,10-09-2025,P,165,10-31-2025,2.45,1,245,190,0,O,245,
MU,11-04-2025,P,170,11-28-2025,1.30,1,130,232,0,O,130,
MU,11-12-2025,P,205,11-28-2025,1.85,1,185,245,0,O,185,
QQQ,08-07-2025,P,500,08-29-2025,0.85,4,340,565,0,C,340,
QQQ,08-08-2025,C,605,08-29-2025,0.40,4,160,573,0,C,160,
QQQ,09-02-2025,P,485,09-26-2025,0.70,4,280,565,0,O,280,
QQQ,09-03-2025,C,600,09-26-2025,0.52,4,208,570,0,O,208,
QQQ,09-30-2025,C,645,10-31-2025,0.62,2,124,598,0,O,124,
QQQ,09-30-2025,C,640,10-31-2025,0.90,2,180,598,0,O,180,
QQQ,09-30-2025,P,530,10-31-2025,1.30,4,520,598,0,O,520,
QQQ,11-03-2025,P,570,11-28-2025,1.48,4,592,632,0,O,592,
QQQ,11-06-2025,C,660,11-28-2025,0.68,4,272,614,0,O,272,
TMO,08-05-2025,P,410,08-29-2025,0.65,2,130,487,0,C,130,
TMO,08-07-2025,C,545,08-29-2025,0.95,2,190,457,0,C,190,
TMO,09-02-2025,P,430,09-19-2025,0.85,2,170,487,0,O,170,
TMO,09-03-2025,C,530,09-19-2025,0.70,2,140,484,0,O,140,
TMO,09-24-2025,P,420,10-17-2025,1.90,2,380,468,0,O,380,
TMO,09-24-2025,C,520,10-17-2025,1.25,2,250,468,0,O,250,
TMO,11-04-2025,P,520,11-28-2025,2.05,2,409,564,0,O,409,
VRT,08-05-2025,C,185,08-29-2025,0.60,1,60,148,0,C,60,
VRT,08-05-2025,P,120,08-29-2025,0.78,1,78,151,0,C,78,
VRT,09-03-2025,P,100,09-26-2025,0.40,1,40,124,0,O,40,
VRT,09-03-2025,C,150,09-26-2025,0.50,1,50,125,0,O,50,
VRT,09-03-2025,P,100,09-26-2025,0.40,1,40,125,0,O,40,
VRT,09-30-2025,C,180,10-17-2025,0.65,1,65,145,0,O,65,
VRT,09-30-2025,P,125,10-17-2025,0.70,1,70,148,0,O,70,
VRT,11-04-2025,P,140,11-28-2025,0.90,1,90,180,0,O,90,
VRT,11-05-2025,C,240,11-28-2025,0.85,1,85,191,0,O,85,
WAT,09-03-2025,P,260,09-19-2025,0.45,1,45,290,0,O,45,
WAT,09-03-2025,C,320,09-19-2025,0.50,1,50,290,0,O,50,
WAT,08-04-2025,C,320,08-16-2025,0.45,1,45,288,0,C,45,
WAT,09-24-2025,P,260,10-17-2025,0.80,1,80,293,0,O,80,
WAT,09-30-2025,C,330,10-17-2025,0.70,1,70,298,0,O,70,
WAT,11-06-2025,P,330,11-21-2025,0.60,1,60,368,0,O,60,
WAT,11-06-2025,C,400,11-21-2025,0.90,1,90,371,0,O,90,
